Id,PC1,PC2,PC3,label
GLY30_M92_O1_1005,-35.80856198,-5.712803939,-9.649825467,GLY30
GLY60_M72_O1_1014,-5.649696834,33.77726976,-0.190534008,GLY60
AIRE_M30_O1_1003,171.0320112,-34.06440972,-2.16886224,AIR
GLY40_M86_O1_1007,-44.45569595,6.634223528,-6.229594657,GLY40
GLY70_M86_O1_1018,35.22024882,31.55649417,4.772740806,GLY70
AGUA_M59_O1_0928,-49.13642061,-36.81298142,9.43592368,WATER
GLY60_M78_O1_1014,-5.639084632,33.71531254,-0.263860549,GLY60
GLY10_M11_O1_0930,-43.50153554,-32.28427309,1.495330645,GLY10
AIRE_M50_O1_1005,173.820003,-38.44872799,-2.590844094,AIR
GLY30_M6_O1_1004,-38.34500678,-5.666066422,-6.782049922,GLY30
GLY60_M51_O1_1014,5.792173152,33.57382162,-2.033250229,GLY60
GLY30_M79_O1_1005,-39.94764273,-6.44111916,-7.714794811,GLY30
GLY80_M97_O1_1025,80.07047847,16.52229757,4.107306599,GLY80
GLY40_M3_O1_1006,-39.84505985,6.919573499,-7.983953975,GLY40
GLY60_M11_O1_1013,-4.919930693,33.22463721,-1.597274499,GLY60
GLY10_M63_O1_0930,-40.17994076,-27.39711077,-0.914282395,GLY10
GLY50_M9_O1_1010,-13.93435035,21.58125346,-11.40318505,GLY50
GLY80_M55_O1_1021,85.54146094,13.04339496,0.402341586,GLY80
GLY10_M22_O1_0930,-43.01731639,-29.96943683,0.541108864,GLY10
GLY70_M6_O1_1017,35.58646624,31.01319058,4.169212405,GLY70
GLY50_M37_O1_1010,-19.83143821,25.92484131,-6.318759501,GLY50
GLY50_M70_O1_1010,-20.87073857,25.25635892,-5.920817583,GLY50
GLY80_M28_O1_1018,74.87973878,17.52681593,3.247778786,GLY80
GLY40_M29_O1_1006,-36.83484279,7.930957322,-9.594451377,GLY40
AIRE_M89_O1_1018,166.3906962,-34.03099934,-0.430558774,AIR
GLY60_M92_O1_1014,-4.428245361,33.91924268,0.163399918,GLY60
GLY80_M50_O1_1021,85.69490107,13.78179121,-0.09961439,GLY80
GLY70_M53_O1_1017,40.76274597,26.34234394,0.641826373,GLY70
GLY30_M98_O1_1005,-42.92365665,-7.024989514,-6.263951349,GLY30
AGUA_M40_O1_0928,-47.40701699,-37.41858628,7.613931321,WATER
GLY60_M96_O1_1014,-2.412502646,33.99325637,-0.089621231,GLY60
GLY50_M17_O1_1010,-22.69249025,20.65297395,-8.14210141,GLY50
AIRE_M59_O1_1007,169.7917087,-34.56569793,-1.071759701,AIR
GLY40_M31_O1_1006,-32.98341575,9.071522902,-11.77451809,GLY40
GLY80_M11_O1_1018,81.72610729,15.79440686,4.602192588,GLY80
GLY70_M88_O1_1018,40.17866485,30.59914907,4.455380444,GLY70
GLY30_M11_O1_1004,-43.02816988,-8.035044418,-4.731117212,GLY30
GLY60_M99_O1_1014,0.04418675,33.61571719,-0.464552145,GLY60
AGUA_M87_O1_0929,-41.34677042,-39.36602182,2.43612867,WATER
GLY80_M79_O1_1025,77.0907439,17.76806957,3.345613849,GLY80
GLY30_M20_O1_1004,-40.3668401,-6.127171445,-7.447860028,GLY30
GLY10_M82_O1_1003,-36.31597863,-30.59566964,-2.97195671,GLY10
GLY30_M26_O1_1004,-42.01185767,-5.263634355,-6.394863228,GLY30
